timestamp,node,socket,core,temperature,frequency,cpu_usage,cpu_power,memory_power,cpu_energy,memory_energy,hour,day,month,temperature_lag_1,temperature_lag_2,temperature_lag_3,frequency_lag_1,cpu_usage_lag_1,power_lag_1,energy_lag_1,temperature_roll3,frequency_roll3,cpu_usage_roll3,power_roll3,energy_roll3,temperature_diff,frequency_diff,cpu_usage_diff,power_diff,energy_diff,target_temperature
2026-07-17 16:10:01,gpu45,0,21,25.0,1419.46,0.0,53.577,42.3289,236469.14166259769,223341.0565185547,16,17,7,25.0,25.0,26.0,1419.46,0.0,53.7695,220416.45294189453,25.0,1419.4633333333334,0.0,53.625099999999996,220417.9616495768,0.0,0.0,0.0,-0.19250000000000256,16052.688720703154,25.0
2026-07-17 16:15:01,gpu45,0,21,25.0,1419.46,0.0,53.3573,43.5535,252493.4948120117,236178.72290039065,16,17,7,25.0,25.0,25.0,1419.46,0.0,53.577,236469.14166259769,25.0,1419.46,0.0,53.567933333333336,236459.69647216797,0.0,0.0,0.0,-0.219699999999996,16024.353149414004,25.0
2026-07-17 12:55:02,gpu45,0,22,27.0,1416.06,0.0,53.5601,42.7814,135987.2078857422,245298.2134399414,12,17,7,28.0,27.0,28.0,1416.06,0.0,53.2219,119981.20532226562,27.333333333333332,1416.06,0.0,53.4486,119979.55798339844,-1.0,0.0,0.0,0.3382000000000005,16006.002563476562,28.0
2026-07-17 13:00:02,gpu45,0,22,28.0,1416.06,0.0,53.4194,42.0674,151974.61981201172,258162.90252685547,13,17,7,27.0,28.0,27.0,1416.06,0.0,53.5601,135987.2078857422,27.666666666666668,1416.06,0.0,53.40046666666667,135981.0110066732,1.0,0.0,0.0,-0.14069999999999538,15987.411926269531,27.0
2026-07-17 13:05:02,gpu45,0,22,27.0,1416.05,0.0,53.2892,43.6113,167975.55291748047,8876.58874511719,13,17,7,28.0,27.0,28.0,1416.06,0.0,53.4194,151974.61981201172,27.333333333333332,1416.0566666666666,0.0,53.4229,151979.12687174478,-1.0,-0.009999999999990905,0.0,-0.1302000000000021,16000.93310546875,27.0
2026-07-17 13:10:02,gpu45,0,22,27.0,1416.05,0.0,53.7707,43.1294,183963.522277832,21786.725341796875,13,17,7,27.0,28.0,27.0,1416.05,0.0,53.2892,167975.55291748047,27.333333333333332,1416.0533333333333,0.0,53.4931,167971.23166910806,0.0,0.0,0.0,0.48149999999999693,15987.969360351533,26.0
2026-07-17 13:15:02,gpu45,0,22,26.0,1416.05,0.0,53.4445,43.4176,199987.00958251956,34662.65246582031,13,17,7,27.0,27.0,28.0,1416.05,0.0,53.7707,183963.522277832,26.666666666666668,1416.05,0.0,53.501466666666666,183975.3615926107,-1.0,0.0,0.0,-0.32620000000000005,16023.487304687558,28.0
2026-07-17 13:20:01,gpu45,0,22,28.0,1416.05,0.0,53.6004,43.726,215956.0159912109,47508.46838378906,13,17,7,26.0,27.0,27.0,1416.05,0.0,53.4445,199987.00958251956,27.0,1416.05,0.0,53.605199999999996,199968.84928385416,2.0,0.0,0.0,0.1559000000000026,15969.006408691348,27.0
2026-07-17 13:25:01,gpu45,0,22,27.0,1416.05,0.0,53.6275,41.5522,231982.4111328125,60412.241943359375,13,17,7,28.0,26.0,27.0,1416.05,0.0,53.6004,215956.0159912109,27.0,1416.05,0.0,53.55746666666666,215975.14556884766,-1.0,0.0,0.0,0.027099999999997237,16026.395141601592,28.0
2026-07-17 13:30:01,gpu45,0,22,28.0,1416.04,0.0,53.3974,42.9168,247985.51293945312,73326.83239746094,13,17,7,27.0,28.0,26.0,1416.05,0.0,53.6275,231982.4111328125,27.666666666666668,1416.0466666666664,0.0,53.54176666666666,231974.64668782553,1.0,-0.009999999999990905,0.0,-0.2301000000000002,16003.101806640625,27.0
2026-07-17 13:35:01,gpu45,0,22,27.0,1416.04,0.0,53.5362,41.9666,1869.1258544921875,86225.93353271484,13,17,7,28.0,27.0,28.0,1416.04,0.0,53.3974,247985.51293945312,27.333333333333332,1416.043333333333,0.0,53.52036666666666,160612.34997558594,-1.0,0.0,0.0,0.13880000000000337,-246116.38708496094,27.0
2026-07-17 13:40:01,gpu45,0,22,27.0,1416.04,0.0,53.3169,43.6616,17877.303771972656,99129.20361328124,13,17,7,27.0,28.0,27.0,1416.04,0.0,53.5362,1869.1258544921875,27.333333333333332,1416.04,0.0,53.41683333333333,89243.98085530598,0.0,0.0,0.0,-0.21930000000000405,16008.177917480469,27.0
2026-07-17 13:45:01,gpu45,0,22,27.0,1416.04,0.0,53.5254,43.8494,33846.949462890625,112040.46466064452,13,17,7,27.0,27.0,28.0,1416.04,0.0,53.3169,17877.303771972656,27.0,1416.04,0.0,53.4595,17864.459696451824,0.0,0.0,0.0,0.2085000000000008,15969.645690917969,27.0
